InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Total Sum
557129,85099C,JUMBO  BAG BAROQUE BLACK WHITE,4,2011-06-16 19:59:00,2.08,17841,United Kingdom,8.32
561473,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2011-07-27 13:17:00,2.1,15078,United Kingdom,25.200000000000003
550515,22515,CHILDS GARDEN SPADE PINK,2,2011-04-18 17:29:00,2.1,14502,United Kingdom,4.2
578924,22992,REVOLVER WOODEN RULER ,4,2011-11-27 12:10:00,1.95,16983,United Kingdom,7.8
554906,23284,DOORMAT KEEP CALM AND COME IN,10,2011-05-27 11:41:00,6.75,14194,United Kingdom,67.5
556918,21137,BLACK RECORD COVER FRAME,192,2011-06-15 13:37:00,3.39,12415,Australia,650.88
581445,22216,T-LIGHT HOLDER WHITE LACE,24,2011-12-08 17:12:00,0.29,17405,United Kingdom,6.959999999999999
544105,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-02-16 10:38:00,1.25,17567,United Kingdom,15.0
571036,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,24,2011-10-13 12:52:00,0.29,17567,United Kingdom,6.959999999999999
574297,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-11-03 15:54:00,0.65,16602,United Kingdom,10.4
572283,23542,WALL ART 70'S ALPHABET ,1,2011-10-23 11:42:00,8.25,15000,United Kingdom,8.25
542107,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-01-25 13:38:00,0.55,16222,United Kingdom,0.55
553374,20724,RED RETROSPOT CHARLOTTE BAG,10,2011-05-16 14:51:00,0.85,14489,United Kingdom,8.5
555853,22469,HEART OF WICKER SMALL,2,2011-06-07 13:44:00,1.65,14375,United Kingdom,3.3
556578,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011-06-13 14:13:00,4.15,12472,Germany,16.6
567369,23230,WRAP ALPHABET DESIGN,25,2011-09-20 09:06:00,0.42,17527,United Kingdom,10.5
555943,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-06-08 10:15:00,1.65,13520,Switzerland,19.799999999999997
577110,22154,ANGEL DECORATION 3 BUTTONS ,48,2011-11-17 17:53:00,0.42,14234,United Kingdom,20.16
577860,22025,RING OF ROSES BIRTHDAY CARD,12,2011-11-22 11:25:00,0.42,16655,United Kingdom,5.04
579196,23096,PETIT TRAY CHIC,1,2011-11-28 15:54:00,3.29,14096,United Kingdom,3.29
575222,21916,SET 12 RETRO WHITE CHALK STICKS,5,2011-11-09 11:33:00,0.42,16880,United Kingdom,2.1
560696,18098C,PORCELAIN BUTTERFLY OIL BURNER,2,2011-07-20 12:14:00,2.95,14606,United Kingdom,5.9
580160,22561,WOODEN SCHOOL COLOURING SET,12,2011-12-02 10:47:00,1.65,12700,France,19.799999999999997
581414,22703,PINK CAT BOWL,1,2011-12-08 14:39:00,0.59,14730,United Kingdom,0.59
575868,21439,BASKET OF TOADSTOOLS,12,2011-11-11 12:44:00,1.25,12985,United Kingdom,15.0
579741,85032A,ROMANTIC IMAGES GIFT WRAP SET,1,2011-11-30 14:33:00,0.65,16910,United Kingdom,0.65
541406,47559B,TEA TIME OVEN GLOVE,2,2011-01-17 15:19:00,1.25,14657,United Kingdom,2.5
563692,21485,RETROSPOT HEART HOT WATER BOTTLE,2,2011-08-18 13:01:00,4.95,17243,United Kingdom,9.9
573552,23083,SET 6 PAPER TABLE LANTERN STARS ,6,2011-10-31 13:43:00,3.75,13203,United Kingdom,22.5
569136,23394,POSTE FRANCE CUSHION COVER,2,2011-09-30 14:41:00,3.75,15834,United Kingdom,7.5
571183,15056BL,EDWARDIAN PARASOL BLACK,7,2011-10-14 11:08:00,5.95,14796,United Kingdom,41.65
566123,23412,HEART MIRROR ANTIQUE WHITE,1,2011-09-09 11:15:00,7.5,15039,United Kingdom,7.5
551332,23051,RECYCLED ACAPULCO MAT BLUE,2,2011-04-27 16:23:00,8.25,13078,United Kingdom,16.5
